               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 107,            0.041296,            0.011675,           0.0068043,              0.7734,             0.92134,             0.98389,             0.55316,            0.032597,           0.0053191,           0.0034978,           0.0079012,           0.0079012,           0.0079012
                 108,            0.048114,             0.01172,           0.0066883,              0.7734,             0.92134,             0.98389,             0.55316,            0.032597,           0.0053191,           0.0034978,           0.0078814,           0.0078814,           0.0078814
                 109,            0.044066,            0.011127,           0.0077262,             0.66727,             0.95238,             0.93455,             0.56862,            0.034351,           0.0052149,           0.0034939,           0.0078616,           0.0078616,           0.0078616
                 110,            0.043837,            0.010769,           0.0065884,             0.61715,               0.975,             0.81473,             0.36913,            0.036454,           0.0054106,           0.0034332,           0.0078418,           0.0078418,           0.0078418
                 111,            0.048169,            0.010442,           0.0096093,              0.7259,             0.92738,             0.91545,             0.57173,            0.031793,           0.0053175,           0.0033692,            0.007822,            0.007822,            0.007822
                 112,            0.043584,            0.013048,           0.0064274,              0.7259,             0.92738,             0.91545,             0.57173,            0.031793,           0.0053175,           0.0033692,           0.0078022,           0.0078022,           0.0078022
                 113,            0.041792,            0.011753,           0.0056371,             0.64146,             0.98388,             0.92135,             0.54608,            0.029475,           0.0054395,           0.0033666,           0.0077824,           0.0077824,           0.0077824
                 114,            0.045233,           0.0098698,            0.006088,             0.83544,             0.92738,              0.9159,             0.49347,            0.036896,           0.0053807,           0.0032504,           0.0077626,           0.0077626,           0.0077626
                 115,            0.044994,            0.010808,            0.005273,             0.77733,             0.95119,             0.90005,             0.50367,            0.029523,           0.0056291,           0.0033209,           0.0077428,           0.0077428,           0.0077428
                 116,            0.041385,            0.011139,             0.00493,             0.77733,             0.95119,             0.90005,             0.50367,            0.029523,           0.0056291,           0.0033209,            0.007723,            0.007723,            0.007723
                 117,            0.039352,           0.0096421,           0.0048595,              0.9587,             0.97619,             0.98122,             0.63399,            0.027262,           0.0055206,           0.0032053,           0.0077032,           0.0077032,           0.0077032
                 118,            0.040096,            0.010771,           0.0052694,             0.75592,              0.8713,             0.90611,             0.53232,            0.033375,           0.0054387,           0.0031112,           0.0076834,           0.0076834,           0.0076834
                 119,            0.047214,             0.01199,            0.005168,             0.99486,             0.99118,               0.995,              0.5503,              0.0281,           0.0054046,           0.0031473,           0.0076636,           0.0076636,           0.0076636
                 120,            0.044498,            0.010994,           0.0052646,             0.99486,             0.99118,               0.995,              0.5503,              0.0281,           0.0054046,           0.0031473,           0.0076438,           0.0076438,           0.0076438
                 121,            0.043498,            0.010861,           0.0072837,             0.95483,             0.97619,             0.99409,              0.6773,            0.028738,           0.0053816,           0.0032811,            0.007624,            0.007624,            0.007624
                 122,            0.041065,              0.0132,           0.0065986,             0.96216,             0.97619,             0.98429,             0.55378,            0.029377,            0.005534,           0.0031086,           0.0076042,           0.0076042,           0.0076042
                 123,            0.041995,            0.011258,            0.004592,             0.85202,             0.90034,             0.89688,              0.3782,            0.033638,           0.0055103,           0.0031666,           0.0075844,           0.0075844,           0.0075844
                 124,            0.045504,            0.010331,           0.0061494,             0.85202,             0.90034,             0.89688,              0.3782,            0.033638,           0.0055103,           0.0031666,           0.0075646,           0.0075646,           0.0075646
                 125,            0.044253,            0.012204,             0.00693,             0.77705,             0.96673,             0.91057,             0.39928,            0.029071,           0.0053698,           0.0032559,           0.0075448,           0.0075448,           0.0075448
                 126,            0.042604,            0.013798,           0.0051907,              0.7607,             0.95438,              0.9486,             0.52623,            0.032091,           0.0054799,           0.0034015,            0.007525,            0.007525,            0.007525
