               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  53,             0.03114,            0.012174,            0.050642,             0.28856,             0.81748,             0.41073,             0.29798,            0.017443,           0.0032648,            0.031351,            0.004852,            0.004852,            0.004852
                  54,            0.027258,            0.013331,            0.046901,             0.29009,             0.76024,             0.42894,             0.32706,            0.017349,           0.0032129,            0.030719,            0.004753,            0.004753,            0.004753
                  55,            0.028909,            0.013507,            0.049503,             0.32419,             0.73878,             0.46068,             0.34814,            0.014138,           0.0032509,            0.029957,            0.004654,            0.004654,            0.004654
                  56,            0.026285,            0.012569,            0.048335,              0.2863,             0.66407,             0.47036,             0.36956,            0.015075,           0.0032524,            0.030264,            0.004555,            0.004555,            0.004555
                  57,            0.028419,            0.014963,            0.050101,             0.41139,             0.58016,             0.46429,             0.34124,            0.016859,           0.0035128,            0.030356,            0.004456,            0.004456,            0.004456
                  58,            0.026289,            0.013164,            0.048249,             0.28425,              0.6132,             0.47533,             0.37525,            0.013461,           0.0033919,            0.030354,            0.004357,            0.004357,            0.004357
                  59,            0.026074,             0.01208,            0.044428,             0.27241,             0.56387,             0.46818,             0.36661,            0.013175,             0.00354,             0.03087,            0.004258,            0.004258,            0.004258
                  60,            0.026947,            0.012134,            0.047607,              0.2716,             0.55672,             0.46354,             0.36403,            0.014187,           0.0035956,            0.030306,            0.004159,            0.004159,            0.004159
                  61,            0.025165,            0.010767,            0.047643,             0.27655,             0.59405,             0.48395,             0.38686,            0.012364,           0.0033181,            0.029308,             0.00406,             0.00406,             0.00406
                  62,            0.024639,            0.012322,            0.044527,             0.27514,             0.60157,             0.48876,              0.3792,            0.015192,           0.0032209,            0.028929,            0.003961,            0.003961,            0.003961
                  63,             0.02591,            0.012004,            0.044293,             0.29239,              0.6555,             0.48606,             0.38064,            0.012099,           0.0031606,            0.028377,            0.003862,            0.003862,            0.003862
                  64,             0.02774,            0.012852,            0.047382,             0.29784,             0.73389,             0.48363,             0.38181,             0.01167,            0.003213,            0.028287,            0.003763,            0.003763,            0.003763
                  65,            0.023197,            0.011404,            0.041983,             0.31567,             0.75155,             0.48494,             0.39342,            0.010967,           0.0032614,            0.028392,            0.003664,            0.003664,            0.003664
                  66,            0.024027,            0.012331,            0.048933,              0.3126,             0.82119,             0.49362,             0.40122,            0.011228,            0.003242,            0.028618,            0.003565,            0.003565,            0.003565
                  67,            0.025229,            0.013898,            0.046056,             0.32157,             0.65237,             0.49994,             0.40426,            0.012467,           0.0032937,            0.028283,            0.003466,            0.003466,            0.003466
                  68,            0.026981,            0.012231,            0.049047,             0.29668,             0.61782,             0.50237,              0.4093,            0.011424,           0.0033474,            0.028277,            0.003367,            0.003367,            0.003367
                  69,            0.025228,            0.012646,            0.044501,             0.30093,               0.615,             0.49672,             0.40393,            0.012707,           0.0033095,            0.028456,            0.003268,            0.003268,            0.003268
                  70,            0.024225,            0.011826,            0.046879,             0.31282,              0.6978,             0.48916,             0.39424,             0.01395,           0.0032366,            0.028197,            0.003169,            0.003169,            0.003169
                  71,            0.024827,            0.012216,            0.042078,             0.31335,             0.70584,             0.50909,             0.40556,            0.011309,             0.00316,            0.027214,             0.00307,             0.00307,             0.00307
                  72,            0.021193,            0.011444,            0.045414,             0.30678,             0.69427,             0.50557,             0.41174,            0.010534,           0.0031541,            0.027103,            0.002971,            0.002971,            0.002971
                  73,            0.023722,            0.012065,            0.047263,             0.30688,             0.70244,             0.51411,               0.412,            0.011052,           0.0031138,            0.026955,            0.002872,            0.002872,            0.002872
                  74,            0.022436,             0.01179,            0.048598,             0.29858,             0.64617,             0.50149,             0.41017,            0.010668,           0.0031421,              0.0273,            0.002773,            0.002773,            0.002773
                  75,            0.024427,            0.011571,            0.044904,             0.30275,             0.61995,             0.47183,             0.38422,            0.011014,           0.0031714,            0.028513,            0.002674,            0.002674,            0.002674
                  76,            0.025155,            0.011996,            0.044828,             0.30474,             0.63259,             0.47051,             0.37745,            0.011838,             0.00326,            0.028206,            0.002575,            0.002575,            0.002575
                  77,            0.025292,            0.011546,            0.045941,             0.29893,             0.62343,             0.46377,             0.37695,            0.010388,           0.0031785,            0.027679,            0.002476,            0.002476,            0.002476
                  78,            0.023756,            0.013256,            0.043259,             0.30476,              0.6995,             0.49513,             0.40564,            0.010573,           0.0030924,            0.026717,            0.002377,            0.002377,            0.002377
                  79,            0.024074,            0.012004,            0.046092,             0.34533,             0.68975,             0.51623,             0.42156,           0.0099613,           0.0030601,            0.026259,            0.002278,            0.002278,            0.002278
                  80,            0.023274,            0.012159,            0.045849,             0.36589,             0.66833,             0.51506,             0.41824,            0.011253,           0.0029866,            0.026301,            0.002179,            0.002179,            0.002179
                  81,            0.022196,            0.011856,            0.038391,             0.37631,             0.67242,             0.52323,             0.42878,            0.011315,           0.0029326,            0.026227,             0.00208,             0.00208,             0.00208
                  82,            0.019537,            0.011946,            0.038903,             0.36435,             0.68135,             0.53566,             0.43504,           0.0093307,           0.0028915,            0.026154,            0.001981,            0.001981,            0.001981
                  83,            0.021782,            0.011807,            0.043122,             0.37202,             0.71171,             0.55206,             0.45394,           0.0094239,           0.0028632,            0.025972,            0.001882,            0.001882,            0.001882
                  84,              0.0233,            0.011525,            0.043844,             0.39179,             0.72347,             0.54627,              0.4541,           0.0092579,           0.0028345,             0.02586,            0.001783,            0.001783,            0.001783
                  85,            0.023251,            0.012146,            0.044013,             0.38174,             0.71513,             0.54134,             0.45809,           0.0090499,           0.0028701,            0.025984,            0.001684,            0.001684,            0.001684
                  86,            0.021219,            0.010663,            0.040277,             0.36671,               0.673,             0.53677,             0.44636,           0.0098149,           0.0029771,            0.026529,            0.001585,            0.001585,            0.001585
                  87,            0.022646,            0.011629,            0.042204,             0.36643,             0.63728,             0.53168,             0.44723,           0.0089668,           0.0029182,            0.026408,            0.001486,            0.001486,            0.001486
                  88,            0.020871,            0.012427,            0.043873,             0.36197,             0.67101,             0.52606,             0.44347,           0.0090693,           0.0028607,            0.026318,            0.001387,            0.001387,            0.001387
                  89,            0.020455,            0.011849,            0.045819,             0.37742,             0.66205,             0.54345,             0.46295,           0.0088381,           0.0028243,            0.025667,            0.001288,            0.001288,            0.001288
                  90,            0.020299,            0.011192,            0.041119,              0.3621,             0.67994,             0.54083,             0.45663,           0.0089231,           0.0028864,            0.025506,            0.001189,            0.001189,            0.001189
                  91,            0.019996,            0.010843,            0.043287,             0.36889,             0.67154,             0.54954,              0.4605,           0.0091635,           0.0028911,            0.025367,             0.00109,             0.00109,             0.00109
                  92,            0.022757,            0.012392,             0.04424,             0.36442,             0.69239,             0.56297,             0.47322,           0.0089764,           0.0028644,             0.02519,            0.000991,            0.000991,            0.000991
                  93,            0.020731,            0.011281,            0.041413,              0.3929,             0.70584,             0.57414,             0.48001,           0.0093703,            0.002879,            0.025117,            0.000892,            0.000892,            0.000892
                  94,            0.020383,            0.010559,            0.043869,              0.3988,             0.70914,             0.58438,             0.48433,           0.0093336,           0.0028641,            0.025073,            0.000793,            0.000793,            0.000793
                  95,            0.021901,             0.01192,            0.043679,             0.40286,             0.72265,             0.58707,             0.49473,           0.0089563,           0.0028369,            0.025077,            0.000694,            0.000694,            0.000694
                  96,            0.019155,            0.012105,            0.042734,             0.39878,             0.71205,             0.58731,              0.4983,           0.0087961,           0.0027963,            0.025068,            0.000595,            0.000595,            0.000595
                  97,            0.019297,            0.010107,            0.043918,             0.38628,             0.72138,             0.57991,             0.49616,           0.0085485,           0.0027618,            0.025037,            0.000496,            0.000496,            0.000496
                  98,            0.019838,            0.011863,            0.042177,              0.3838,             0.72123,             0.57931,             0.49398,           0.0085804,           0.0027419,            0.025012,            0.000397,            0.000397,            0.000397
                  99,            0.021399,            0.010979,            0.042812,             0.38787,             0.73111,             0.57673,             0.49414,           0.0086049,           0.0027286,            0.025001,            0.000298,            0.000298,            0.000298
